Starting
Starting
Stepper Pin:14
1073494580
1073494244
    F_CPU=240000000
    TICKS_PER_S=16000000
.E (1919) wifi:Association refused temporarily, comeback time 299 mSec
E (2227) wifi:Association refused temporarily, comeback time 299 mSec
.E (2532) wifi:Association refused temporarily, comeback time 299 mSec
E (2838) wifi:Association refused temporarily, comeback time 299 mSec
E (3143) wifi:Association refused temporarily, comeback time 299 mSec
.E (3449) wifi:Association refused temporarily, comeback time 299 mSec
E (3753) wifi:Association refused temporarily, comeback time 299 mSec
E (4062) wifi:Association refused temporarily, comeback time 299 mSec
.Connected to Wifi, Connecting to server.
Connected!

HARD MINIMUM LIMIT: 17
HARD MAXIMUM LIMIT: -3605

TOTAL HARD RANGE: 
3622

clampedPosition: -3605
duration: 2000
46446,47445,-483,-3605,1810,1809955,0
46446,47445,-483,-3605,1810,1809955,0
46447,47445,-484,-3605,1810,1809955,0
46447,47445,-484,-3605,1810,1809955,0
46458,47445,-489,-3605,1810,1809955,0
46458,47445,-489,-3605,1810,1809955,0
46459,47445,-490,-3605,1810,1809955,0
46459,47445,-495,-3605,1810,1809955,0
46470,47445,-496,-3605,1808,1807910,0
46470,47445,-496,-3605,1808,1807910,0
46471,47445,-497,-3605,1807,1807093,0
46481,47445,-515,-3605,1805,1805054,0
46482,47445,-516,-3605,1804,1804037,0
46482,47445,-517,-3605,1804,1804037,0
46483,47445,-536,-3605,1804,1804037,0
46493,47445,-537,-3605,1800,1799978,0
46494,47445,-538,-3605,1800,1799978,0
46494,47445,-539,-3605,1800,1799978,0
46505,47445,-557,-3605,1794,1793923,0
46505,47445,-558,-3605,1794,1793923,0
46506,47445,-559,-3605,1794,1793923,0
46506,47445,-578,-3605,1794,1793923,0
46517,47445,-579,-3605,1787,1786911,0
46517,47445,-579,-3605,1787,1786911,0
46518,47445,-580,-3605,1787,1786911,0
46528,47445,-599,-3605,1780,1779953,0
46529,47445,-600,-3605,1779,1778964,0
46529,47445,-601,-3605,1779,1778964,0
46530,47445,-620,-3605,1778,1777975,0
46540,47445,-621,-3605,1770,1769912,0
46541,47445,-621,-3605,1770,1769912,0
46541,47445,-622,-3605,1770,1769912,0
