Starting
Starting
Stepper Pin:14
1073494580
1073494244
    F_CPU=240000000
    TICKS_PER_S=16000000
.Connected to Wifi, Connecting to server.
Connected!

HARD MINIMUM LIMIT: 1798
HARD MAXIMUM LIMIT: -1830

TOTAL HARD RANGE: 
3628

clampedPosition: -1830
duration: 2000
33665,35665,1798,-1830,1,1000,0
33666,35665,1798,-1830,1,1000,0
33666,35665,1798,-1830,1,1000,0
33667,35665,1797,-1830,1,1000,0
33678,35665,1797,-1830,1,1000,0
33678,35665,1797,-1830,1,1000,0
33678,35665,1797,-1830,1,1000,0
33679,35665,1797,-1830,1,1000,0
33689,35665,1797,-1830,2,2000,0
33690,35665,1797,-1830,2,2000,0
33690,35665,1797,-1830,2,2000,0
33691,35665,1797,-1830,3,3000,0
33701,35665,1797,-1830,5,5000,0
33702,35665,1797,-1830,6,6000,0
33702,35665,1797,-1830,6,6000,0
33702,35665,1797,-1830,6,6000,0
33713,35665,1797,-1830,10,10000,0
33713,35665,1797,-1830,10,10000,0
33714,35665,1797,-1830,10,10000,0
33714,35665,1797,-1830,10,10000,0
33725,35665,1797,-1830,16,16000,0
33725,35665,1797,-1830,16,16000,0
33726,35665,1797,-1830,16,16000,0
33726,35665,1797,-1830,16,16000,0
33737,35665,1797,-1830,23,23000,0
33737,35665,1797,-1830,23,23000,0
33738,35665,1797,-1830,23,23000,0
33738,35665,1797,-1830,23,23000,0
33749,35665,1797,-1830,31,31000,0
33749,35665,1797,-1830,31,31000,0
33750,35665,1797,-1830,32,32000,0
33750,35665,1797,-1830,32,32000,0
33761,35665,1797,-1830,40,40000,0
33761,35665,1797,-1830,40,40000,0
33761,35665,1797,-1830,40,40000,0
33762,35665,1797,-1830,41,41000,0
33772,35665,1797,-1830,50,50000,0
33773,35665,1797,-1830,51,51000,0
33773,35665,1797,-1830,51,51000,0
33774,35665,1797,-1830,52,52000,0
33784,35665,1797,-1830,62,62000,0
33785,35665,1797,-1830,63,63000,0
33785,35665,1797,-1830,63,63000,0
33786,35665,1797,-1830,64,64000,0
33796,35665,1797,-1830,75,75000,0
33797,35665,1797,-1830,76,76000,0
33797,35665,1797,-1830,76,76000,0
33808,35665,1797,-1830,89,89000,0
33808,35665,1797,-1830,89,89000,0
33808,35665,1797,-1830,89,89000,0
33809,35665,1797,-1830,91,91000,0
33819,35665,1797,-1830,104,104000,0
33820,35665,1797,-1830,105,105000,0
33820,35665,1797,-1830,105,105000,0
33821,35665,1797,-1830,106,106000,0
33831,35665,1797,-1830,120,120000,0
33832,35665,1797,-1830,121,121000,0
33832,35665,1797,-1830,121,121000,0
33833,35665,1797,-1830,123,123000,0
33843,35665,1797,-1830,138,138000,0
33844,35665,1797,-1830,139,139000,0
33844,35665,1797,-1830,139,139000,0
33855,35665,1797,-1830,156,156000,0
33855,35665,1797,-1830,156,156000,0
33855,35665,1797,-1830,156,156000,0
33856,35665,1797,-1830,158,158000,0
33867,35665,1797,-1830,176,176000,0
33867,35665,1797,-1830,176,176000,0
33867,35665,1797,-1830,176,176000,0
