Starting
Starting
Stepper Pin:14
1073494580
1073494244
    F_CPU=240000000
    TICKS_PER_S=16000000
.E (1817) wifi:Association refused temporarily, comeback time 299 mSec
E (2123) wifi:Association refused temporarily, comeback time 299 mSec
.E (2427) wifi:Association refused temporarily, comeback time 299 mSec
E (2733) wifi:Association refused temporarily, comeback time 299 mSec
E (3037) wifi:Association refused temporarily, comeback time 299 mSec
.E (3342) wifi:Association refused temporarily, comeback time 299 mSec
E (3648) wifi:Association refused temporarily, comeback time 299 mSec
E (3957) wifi:Association refused temporarily, comeback time 299 mSec
.E (4263) wifi:Association refused temporarily, comeback time 299 mSec
E (4567) wifi:Association refused temporarily, comeback time 299 mSec
..Connected to Wifi, Connecting to server.
Connected!

HARD MINIMUM LIMIT: 1971
HARD MAXIMUM LIMIT: -1657

TOTAL HARD RANGE: 
3628

1971,32000,500000,31250
1971,32000,500000,31250
1971,32000,500000,31250
1971,32000,500000,31250
1971,32000,500000,31250
1971,32000,500000,31250
1971,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1970,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1969,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1968,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1967,32000,500000,31250
1966,32000,500000,31250
1966,32000,500000,31250
1966,32000,500000,31250
1966,32000,500000,31250
1966,32000,500000,31250
1966,34000,470588,29411
1966,35000,457143,28571
1966,35000,457143,28571
1966,35000,457143,28571
1966,35000,457143,28571
1966,35000,457143,28571
1966,40000,400000,25000
1966,40000,400000,25000
1966,41000,390244,24390
1966,41000,390244,24390
1966,41000,390244,24390
1966,41000,390244,24390
1965,47000,340426,21276
1965,47000,340426,21276
1965,47000,340426,21276
1965,47000,340426,21276
1965,47000,340426,21276
1965,53000,301887,18867
1965,54000,296296,18518
1965,54000,296296,18518
1965,54000,296296,18518
1965,54000,296296,18518
1965,55000,290909,18181
1965,61000,262295,16393
1965,61000,262295,16393
1965,62000,258065,16129
1965,62000,258065,16129
1965,62000,258065,16129
1964,69000,231884,14492
1964,69000,231884,14492
1964,69000,231884,14492
1964,70000,228571,14285
1964,70000,228571,14285
1964,70000,228571,14285
1964,78000,205128,12820
1964,78000,205128,12820
1964,78000,205128,12820
1963,78000,205128,12820
1963,78000,205128,12820
1963,78000,205128,12820
1963,86000,186047,11627
1963,87000,183908,11494
1963,87000,183908,11494
1963,87000,183908,11494
1963,87000,183908,11494
1962,95000,168421,10526
1962,95000,168421,10526
1962,95000,168421,10526
1962,96000,166667,10416
1962,96000,166667,10416
1962,96000,166667,10416
1961,105000,152381,9523
1961,105000,152381,9523
1961,105000,152381,9523
1961,105000,152381,9523
1961,106000,150943,9433
1961,106000,150943,9433
1960,115000,139130,8695
1960,116000,137931,8620
1960,116000,137931,8620
1960,116000,137931,8620
1960,116000,137931,8620
1959,126000,126984,7936
1959,126000,126984,7936
1959,126000,126984,7936
1959,127000,125984,7874
1959,127000,125984,7874
1959,127000,125984,7874
1958,137000,116788,7299
1958,137000,116788,7299
1958,137000,116788,7299
1958,137000,116788,7299
1958,138000,115942,7246
1957,148000,108108,6756
1957,148999,107383,6711
1957,148999,107383,6711
1957,148999,107383,6711
1957,148999,107383,6711
1957,150000,106667,6666
1955,161000,99379,6211
1955,161000,99379,6211
1955,162001,98765,6172
1955,162001,98765,6172
1955,162001,98765,6172
1955,162001,98765,6172
1954,172999,92486,5780
1954,172999,92486,5780
1954,172999,92486,5780
1954,174000,91954,5747
1954,174000,91954,5747
1954,174000,91954,5747
1952,187001,85561,5347
1952,187001,85561,5347
1952,187001,85561,5347
1952,187001,85561,5347
1952,188001,85106,5319
1952,188001,85106,5319
1950,199000,80402,5025
1950,200000,80000,5000
1950,200000,80000,5000
1950,200000,80000,5000
1950,200000,80000,5000
1948,213001,75117,4694
1948,213001,75117,4694
1948,213001,75117,4694
1948,214999,74419,4651
1948,214999,74419,4651
1948,214999,74419,4651
1946,228001,70175,4385
1946,228001,70175,4385
1946,228001,70175,4385
1946,229000,69869,4366
1946,229000,69869,4366
1946,229000,69869,4366
1944,242999,65844,4115
1944,242999,65844,4115
1944,242999,65844,4115
1943,242999,65844,4115
1943,243999,65574,4098
1943,243999,65574,4098
1941,256999,62257,3891
1941,259000,61776,3861
1941,259000,61776,3861
1941,259000,61776,3861
1941,259000,61776,3861
1941,260002,61538,3846
1938,273000,58608,3663
1938,273000,58608,3663
1938,274999,58182,3636
