Starting
Starting
Stepper Pin:14
1073494588
1073494252
    F_CPU=240000000
    TICKS_PER_S=16000000
.Connected to Wifi, Connecting to server.
Connected!
0.75,-141
0.90,-139
0.59,-138
0.82,-137
0.97,-135
0.81,-134
0.87,-133
0.96,-131
0.89,-130
0.87,-129
0.82,-127
0.93,-126
0.95,-125
0.84,-123
0.93,-122
0.91,-121
0.85,-119
0.92,-118
0.93,-117
0.99,-115
0.77,-114
-0.23,-113
-0.24,-111
0.60,-110
0.96,-109
0.96,-107
0.89,-106
1.05,-105
0.91,-103
0.86,-102
1.04,-101
0.97,-99
0.76,-98
0.95,-97
0.85,-95
0.79,-94
0.81,-93
0.91,-91
0.85,-90
0.80,-89
0.80,-88
0.66,-86
0.97,-85
0.88,-84
0.82,-82
0.86,-81
0.83,-80
0.91,-78
0.85,-77
1.00,-76
0.99,-74
0.75,-73
1.00,-72
0.97,-70
0.93,-69
0.88,-68
0.92,-66
0.88,-65
0.91,-64
0.22,-62
-0.17,-61
-0.03,-60
-0.26,-58
-0.10,-57
-0.13,-56
-0.19,-54
-0.17,-53
-0.21,-52
-0.15,-50
-0.15,-49
-0.19,-48
-0.08,-47
-0.18,-45
-0.16,-44
-0.01,-43
-0.19,-41
-0.25,-40
-0.17,-39
-0.25,-37
-0.09,-36
0.08,-35
-0.23,-33
-0.12,-32
-0.39,-31
-0.07,-29
-0.16,-28
0.04,-27
-0.07,-26
-0.09,-24
-0.21,-23
0.03,-22
-0.26,-20
-0.12,-19
-0.06,-18
-0.19,-16
-0.31,-15
-0.09,-14
-0.15,-12
-0.26,-11
-0.13,-10
0.14,-8
0.92,-7
1.07,-6
0.91,-4
0.91,-3
0.89,-2
0.90,0
0.72,1
0.81,2
0.99,4
0.75,5
0.90,6
0.87,7
0.92,9
0.88,10
0.87,11
0.88,13
0.96,14
0.94,15
1.02,17
0.90,18
0.93,19
0.94,21
1.04,22
0.95,23
0.99,25
0.91,26
0.70,27
0.99,28
0.93,30
0.86,31
0.81,32
0.79,34
0.76,35
1.03,36
0.80,38
0.84,39
0.13,40
-0.17,42
0.07,43
0.87,44
0.81,46
0.91,47
0.89,48
0.85,50
0.78,51
0.69,52
0.89,54
0.86,55
0.92,56
0.79,58
0.84,59
0.76,60
0.89,61
0.72,63
0.98,64
0.81,65
1.00,67
0.84,68
0.87,69
0.89,71
0.96,72
0.93,73
0.83,75
0.88,76
0.91,77
0.85,79
0.91,80
0.88,81
1.01,82
0.78,84
0.87,85
1.01,86
0.92,88
0.88,89
0.88,90
-0.20,92
-0.21,93
0.55,94
0.98,96
0.84,97
0.94,98
0.83,100
0.83,101
0.92,102
0.87,104
0.75,105
0.96,106
0.80,108
0.77,109
0.77,110
0.86,112
0.88,113
0.87,114
1.04,115
0.78,117
0.83,118
0.84,119
0.94,121
0.85,122
0.89,123
0.88,125
0.80,126
0.82,127
0.76,129
0.86,130
0.82,131
1.05,133
0.87,134
0.85,135
0.82,136
0.86,138
0.90,139
0.92,140
0.80,142
-0.27,143
-0.03,144
0.41,146
0.88,147
0.89,148
0.87,150
0.89,151
0.79,152
0.77,154
0.79,155
0.80,156
0.81,158
0.95,159
0.79,160
0.85,162
0.82,163
0.92,164
0.99,166
0.84,167
0.93,168
0.86,169
0.86,171
0.76,172
0.91,173
0.74,175
0.82,176
0.76,177
0.86,179
0.83,180
1.04,181
0.78,183
0.99,184
0.81,185
0.78,187
0.90,188
0.96,189
0.94,191
1.02,192
0.66,193
-0.36,195
-0.25,196
0.69,197
0.96,199
0.91,200
0.87,201
0.85,202
0.82,204
0.77,205
0.95,206
0.88,208
0.92,209
0.85,210
0.79,212
0.88,213
0.85,214
0.94,216
0.92,217
0.86,218
0.84,220
0.76,221
0.90,222
0.96,223
0.64,225
0.94,226
0.78,227
0.60,229
0.86,230
0.83,231
0.71,233
0.82,234
0.89,235
0.89,237
0.75,238
0.90,239
0.83,241
0.90,242
0.91,243
0.39,245
-0.29,246
-0.02,247
0.91,249
1.00,250
0.85,251
0.80,253
0.85,254
0.76,255
0.74,256
0.70,258
0.92,259
0.79,260
0.79,262
0.92,263
0.90,264
0.76,266
0.88,267
0.81,268
0.80,270
0.95,271
0.96,272
0.72,274
0.79,275
0.90,276
0.87,278
0.90,279
0.64,280
0.85,281
0.92,283
1.04,284
0.82,285
0.90,287
0.85,288
0.82,289
0.86,291
0.87,292
0.81,293
0.89,295
0.45,296
-0.05,297
-0.07,299
0.83,300
0.88,301
0.89,303
0.89,304
1.03,305
1.07,307
0.87,308
0.89,309
0.83,311
0.78,312
0.83,313
0.92,314
0.85,316
1.05,317
0.84,318
0.80,320
0.81,321
1.03,322
0.94,324
0.92,325
0.86,326
0.89,328
0.77,329
0.98,330
0.81,332
0.86,333
0.92,334
0.85,335
0.83,337
0.89,338
0.87,339
0.81,341
0.81,342
0.77,343
0.83,345
0.80,346
0.23,347
-0.12,349
-0.12,350
0.81,351
0.83,353
0.68,354
0.63,355
0.75,357
0.74,358
0.69,359
0.91,361
0.88,362
0.80,363
0.88,364
0.81,366
0.86,367
0.75,368
0.83,370
0.93,371
0.92,372
0.80,374
0.80,375
0.96,376
0.94,378
0.89,379
0.84,380
0.92,382
0.88,383
0.88,384
0.75,386
0.81,387
0.70,388
0.93,389
0.84,391
0.80,392
0.97,393
0.84,395
0.90,396
1.00,397
0.02,399
-0.08,400
-0.01,401
0.89,403
0.73,404
0.92,405
0.80,407
0.72,408
0.83,409
0.81,411
0.83,412
0.93,413
1.02,415
0.95,416
0.96,417
0.89,419
0.94,420
0.94,421
0.77,422
0.75,424
0.95,425
0.99,426
0.90,428
0.85,429
0.77,430
0.75,432
0.85,433
0.99,434
0.84,436
0.69,437
0.96,438
0.94,440
0.92,441
0.85,442
0.90,443
0.74,445
0.90,446
0.93,447
0.82,449
-0.16,450
-0.22,451
-0.04,453
0.94,454
0.98,455
0.92,457
0.76,458
0.85,459
0.93,461
0.84,462
0.85,463
0.93,465
0.75,466
0.93,467
0.89,469
0.89,470
1.06,471
0.96,472
0.76,474
0.86,475
0.80,476
0.89,478
0.77,479
0.93,480
0.82,482
0.92,483
1.01,484
0.94,486
0.88,487
0.72,488
0.95,490
0.93,491
0.89,492
0.88,494
0.89,495
1.00,496
0.83,497
0.89,499
0.88,500
-0.11,501
-0.24,503
0.47,504
0.85,505
0.77,507
0.83,508
0.84,509
0.77,511
0.91,512
0.87,513
0.88,515
0.85,516
0.95,517
0.63,519
0.78,520
0.83,521
0.86,523
0.90,524
0.86,525
0.91,526
0.88,528
0.88,529
0.75,530
0.98,532
0.74,533
0.89,534
0.71,536
0.96,537
1.03,538
1.04,540
1.01,541
0.91,542
0.70,544
0.82,545
0.79,546
0.91,547
0.80,549
0.73,550
0.83,551
-0.38,553
-0.08,554
0.55,555
0.96,557
0.94,558
0.93,559
0.81,561
0.82,562
0.91,563
0.87,565
0.89,566
0.87,567
0.81,569
0.85,570
0.97,571
1.04,573
0.85,574
0.77,575
0.83,577
0.78,578
0.86,579
0.97,580
0.90,582
0.81,583
0.93,584
0.79,586
0.71,587
0.83,588
1.00,590
0.96,591
0.87,592
0.85,594
0.91,595
0.91,596
0.96,598
0.89,599
0.92,600
0.90,602
0.58,603
-0.16,604
-0.11,605
0.72,607
0.97,608
0.84,609
0.79,611
0.94,612
0.92,613
0.88,615
0.80,616
0.92,617
0.78,619
0.80,620
0.90,621
0.90,623
0.76,624
0.97,625
0.91,627
0.90,628
0.92,629
1.01,631
0.95,632
1.00,633
0.91,634
0.77,636
0.90,637
0.80,638
0.86,640
0.86,641
0.84,642
0.92,644
0.93,645
1.02,646
0.89,648
0.76,649
0.85,650
0.95,652
0.80,653
0.51,654
-0.05,656
-0.09,657
0.84,658
0.82,660
0.79,661
0.97,662
0.77,664
0.91,665
0.81,666
0.79,667
0.70,669
0.86,670
0.88,671
0.95,673
0.92,674
0.99,675
0.89,677
0.85,678
0.94,679
0.99,681
0.84,682
0.84,683
0.92,685
0.78,686
0.93,687
0.90,689
0.84,690
0.89,691
1.05,693
0.81,694
0.91,695
0.86,696
0.84,698
0.84,699
0.90,700
0.86,702
0.85,703
0.80,704
0.29,706
-0.12,707
-0.03,708
0.89,710
0.90,711
0.89,712
0.85,714
0.90,715
0.93,716
0.83,718
0.71,719
0.77,720
0.94,722
0.90,723
0.92,724
0.85,725
0.76,727
0.90,728
0.85,729
1.03,731
0.75,732
0.86,733
0.76,735
0.70,736
0.89,737
0.81,739
0.68,740
0.79,741
0.62,743
0.72,744
0.77,745
0.81,747
0.77,748
0.71,749
0.83,750
0.89,752
0.82,753
0.87,754
0.92,756
0.23,757
-0.00,758
-0.23,760
-0.22,761
-0.18,762
-0.11,764
-0.36,765
-0.09,766
-0.22,768
-0.25,769
-0.20,770
-0.31,771
-0.16,773
-0.20,774
-0.19,775
-0.21,777
-0.28,778
-0.10,779
-0.31,781
-0.20,782
-0.10,783
-0.14,785
-0.24,786
-0.25,787
-0.07,788
-0.14,790
-0.23,791
-0.14,792
-0.13,794
-0.23,795
-0.15,796
-0.19,798
-0.30,799
-0.15,800
-0.19,801
-0.15,803
-0.15,804
-0.21,805
-0.19,807
-0.11,808
-0.05,809
0.01,811
1.03,812
0.89,813
1.13,815
0.86,816
0.98,817
0.92,819
0.87,820
0.87,821
0.86,823
0.93,824
0.93,825
0.90,826
0.77,828
0.92,829
0.91,830
0.96,832
0.90,833
0.88,834
0.77,836
0.92,837
0.97,838
0.91,840
0.87,841
0.91,842
0.93,844
0.78,845
0.88,846
0.90,848
1.00,849
0.84,850
0.88,851
0.85,853
0.70,854
0.83,855
0.97,857
0.85,858
0.08,859
-0.11,861
-0.02,862
0.94,863
0.79,865
0.81,866
0.87,867
0.97,869
0.78,870
0.98,871
0.90,873
0.94,874
0.64,875
1.04,877
0.81,878
0.89,879
1.04,880
0.91,882
0.87,883
0.83,884
0.94,886
0.77,887
0.92,888
0.87,890
0.78,891
0.86,892
0.79,894
0.82,895
0.78,896
0.84,898
0.74,899
0.84,900
0.87,902
0.92,903
0.82,904
0.76,905
0.81,907
0.95,908
0.77,909
-0.03,911
-0.21,912
0.17,913
0.93,915
0.84,916
0.89,917
0.77,919
0.79,920
0.79,921
0.70,923
0.86,924
0.74,925
0.96,927
0.85,928
0.92,929
0.90,931
0.95,932
0.88,933
0.94,934
0.83,936
0.77,937
0.92,938
0.86,940
0.82,941
0.91,942
0.85,944
0.86,945
1.03,946
0.86,948
0.99,949
0.91,950
0.81,952
0.81,953
0.83,954
0.80,956
0.85,957
0.81,958
0.90,959
0.73,961
-0.13,962
-0.09,963
-0.36,965
-0.23,966
-0.08,967
0.65,969
0.90,970
0.98,971
0.99,973
0.88,974
0.94,975
0.94,977
0.86,978
0.86,979
0.76,981
1.00,982
0.92,983
1.04,985
0.88,986
0.91,987
0.97,989
0.86,990
0.75,991
0.84,992
0.85,994
0.80,995
0.75,996
0.93,998
0.88,999
0.94,1000
0.87,1002
0.83,1003
0.72,1004
0.88,1006
0.81,1007
0.84,1008
0.99,1010
0.91,1011
0.81,1012
-0.22,1014
-0.19,1015
0.52,1016
0.86,1018
0.71,1019
0.84,1020
0.83,1021
0.95,1023
0.80,1024
0.82,1025
0.99,1027
0.86,1028
0.90,1029
0.93,1031
1.00,1032
0.86,1033
0.87,1035
0.86,1036
0.90,1037
0.88,1039
0.86,1040
0.88,1041
0.88,1043
0.77,1044
0.89,1045
0.85,1046
0.84,1048
0.90,1049
1.00,1050
0.96,1052
0.95,1053
0.90,1054
0.99,1056
0.79,1057
0.73,1058
0.80,1060
0.81,1061
0.84,1062
0.79,1064
-0.28,1065
-0.30,1066
0.75,1068
0.70,1069
0.78,1070
0.86,1072
0.95,1073
0.93,1074
0.78,1075
0.90,1077
0.93,1078
0.83,1079
0.82,1081
0.77,1082
0.86,1083
0.90,1085
0.78,1086
0.93,1087
0.87,1089
0.64,1090
0.97,1091
0.84,1093
0.90,1094
0.91,1095
0.89,1097
0.73,1098
0.79,1099
0.85,1100
0.89,1102
0.89,1103
0.94,1104
0.91,1106
0.83,1107
0.85,1108
0.89,1110
0.89,1111
0.98,1112
0.90,1114
0.50,1115
-0.19,1116
0.04,1118
0.76,1119
0.93,1120
0.94,1122
0.82,1123
0.97,1124
0.93,1126
0.89,1127
1.03,1128
1.06,1129
0.91,1131
0.85,1132
0.81,1133
0.87,1135
0.84,1136
1.00,1137
0.90,1139
0.90,1140
0.89,1141
0.94,1143
0.94,1144
0.94,1145
0.87,1147
0.77,1148
0.77,1149
0.85,1151
0.84,1152
0.85,1153
0.89,1154
0.72,1156
0.79,1157
0.97,1158
0.88,1160
0.78,1161
0.90,1162
0.82,1164
0.91,1165
0.42,1166
-0.24,1168
-0.09,1169
0.88,1170
0.84,1172
0.79,1173
0.90,1174
0.87,1176
1.00,1177
0.75,1178
0.84,1180
0.93,1181
0.85,1182
0.87,1183
0.81,1185
0.84,1186
0.76,1187
0.75,1189
0.93,1190
0.95,1191
1.00,1193
0.95,1194
1.03,1195
0.89,1197
0.91,1198
0.87,1199
0.89,1201
0.75,1202
0.80,1203
0.85,1205
0.85,1206
0.90,1207
0.80,1208
0.77,1210
0.77,1211
0.94,1212
1.00,1214
0.68,1215
1.01,1216
0.18,1218
-0.24,1219
0.19,1220
0.88,1222
0.89,1223
0.91,1224
0.97,1226
0.93,1227
0.87,1228
0.92,1230
0.98,1231
0.77,1232
0.82,1234
0.93,1235
0.82,1236
0.92,1237
0.81,1239
0.75,1240
0.83,1241
0.90,1243
0.86,1244
0.81,1245
0.97,1247
0.84,1248
0.89,1249
0.75,1251
0.82,1252
0.80,1253
0.81,1255
0.77,1256
0.74,1257
0.80,1259
0.85,1260
0.77,1261
0.93,1262
0.68,1264
0.97,1265
0.93,1266
0.89,1268
0.19,1269
-0.16,1270
0.05,1272
0.88,1273
0.94,1274
0.79,1276
0.89,1277
0.99,1278
0.87,1280
0.84,1281
0.90,1282
0.91,1284
0.90,1285
0.85,1286
0.96,1288
0.88,1289
0.89,1290
0.73,1291
0.82,1293
0.75,1294
0.96,1295
0.83,1297
0.83,1298
0.89,1299
0.82,1301
0.85,1302
0.89,1303
1.04,1305
0.67,1306
0.76,1307
0.66,1309
0.95,1310
0.88,1311
0.90,1313
0.69,1314
0.89,1315
0.84,1316
0.69,1318
0.73,1319
-0.07,1320
-0.10,1322
0.25,1323
0.88,1324
0.79,1326
0.84,1327
0.99,1328
0.94,1330
0.86,1331
0.79,1332
0.89,1334
0.88,1335
0.85,1336
0.97,1338
0.75,1339
0.91,1340
0.95,1342
0.84,1343
0.84,1344
0.80,1346
0.75,1347
0.90,1348
0.92,1349
0.84,1351
0.79,1352
0.88,1353
0.91,1355
0.88,1356
0.89,1357
1.07,1359
0.84,1360
1.01,1361
0.93,1363
0.88,1364
0.94,1365
0.92,1367
0.85,1368
0.91,1369
1.00,1371
-0.16,1372
-0.12,1373
0.46,1375
0.96,1376
0.86,1377
0.86,1379
0.81,1380
0.98,1381
0.91,1382
0.93,1384
0.88,1385
0.96,1386
0.86,1388
0.80,1389
0.92,1390
0.86,1392
0.80,1393
0.93,1394
0.99,1396
0.86,1397
0.93,1398
0.89,1400
0.86,1401
0.98,1402
0.96,1403
0.91,1405
0.86,1406
0.85,1407
0.83,1409
0.96,1410
1.11,1411
0.81,1413
0.89,1414
0.93,1415
0.99,1417
0.96,1418
1.04,1419
0.93,1421
0.92,1422
-0.25,1423
-0.13,1425
0.52,1426
0.89,1427
0.88,1429
0.78,1430
0.98,1431
0.91,1433
1.08,1434
0.82,1435
0.87,1436
0.80,1438
0.88,1439
0.97,1440
0.86,1442
1.01,1443
0.96,1444
0.98,1446
0.91,1447
1.01,1448
0.89,1450
1.16,1451
0.94,1452
0.95,1454
0.94,1455
1.01,1456
0.92,1458
0.84,1459
0.86,1460
0.96,1461
0.86,1463
0.91,1464
0.80,1465
0.83,1467
0.90,1468
0.97,1469
0.88,1471
0.95,1472
0.66,1473
-0.07,1475
-0.25,1476
0.90,1477
0.91,1479
1.04,1480
0.99,1481
1.06,1483
0.77,1484
0.90,1485
1.03,1487
0.95,1488
0.70,1489
0.94,1490
0.95,1492
0.98,1493
0.94,1494
0.91,1496
0.89,1497
0.96,1498
0.78,1500
0.76,1501
0.94,1502
0.89,1504
0.97,1505
1.10,1506
0.85,1508
0.72,1509
0.78,1510
0.89,1512
0.69,1513
0.65,1514
0.91,1515
0.88,1517
0.94,1518
0.84,1519
0.85,1521
0.77,1522
1.03,1523
0.47,1525
-0.15,1526
0.04,1527
0.94,1529
0.88,1530
1.03,1531
0.87,1533
0.93,1534
0.87,1535
0.96,1537
0.88,1538
0.95,1539
1.15,1541
0.84,1542
0.88,1543
0.88,1544
0.91,1546
0.89,1547
0.89,1548
0.75,1550
1.01,1551
0.85,1552
0.93,1554
0.76,1555
0.89,1556
0.96,1558
1.01,1559
0.94,1560
0.91,1562
0.86,1563
0.92,1564
0.91,1566
0.86,1567
0.81,1568
1.09,1569
0.81,1571
0.94,1572
0.94,1573
0.95,1575
0.19,1576
-0.08,1577
-0.00,1579
0.81,1580
0.91,1581
0.67,1583
0.70,1584
0.93,1585
0.93,1587
0.75,1588
0.91,1589
1.02,1591
0.86,1592
0.91,1593
0.73,1595
0.69,1596
0.86,1597
0.76,1598
0.92,1600
0.84,1601
0.92,1602
0.77,1604
0.83,1605
0.83,1606
1.00,1608
0.79,1609
0.78,1610
0.93,1612
0.81,1613
0.91,1614
0.87,1616
0.78,1617
0.87,1618
0.79,1620
0.70,1621
0.83,1622
0.94,1623
0.91,1625
0.87,1626
0.02,1627
-0.16,1629
0.24,1630
0.83,1631
0.77,1633
0.81,1634
0.84,1635
0.96,1637
0.81,1638
1.01,1639
0.90,1641
0.79,1642
0.71,1643
0.66,1645
0.84,1646
0.91,1647
0.97,1649
0.74,1650
0.95,1651
0.86,1653
0.75,1654
0.83,1655
0.86,1656
0.83,1658
0.79,1659
0.93,1660
0.83,1662
0.98,1663
0.96,1664
0.89,1666
0.83,1667
0.84,1668
0.86,1670
0.82,1671
0.90,1672
0.66,1674
0.80,1675
0.77,1676
0.91,1678
-0.17,1679
-0.09,1680
0.28,1682
0.79,1683
0.87,1684
0.91,1686
0.86,1687
0.90,1688
0.85,1689
0.85,1691
0.81,1692
0.83,1693
0.85,1695
0.84,1696
0.93,1697
0.75,1699
0.87,1700
0.85,1701
1.02,1703
0.85,1704
0.88,1705
0.92,1707
0.68,1708
0.88,1709
0.88,1710
0.97,1712
0.81,1713
0.81,1714
0.90,1716
0.92,1717
0.87,1718
0.98,1720
0.95,1721
1.04,1722
0.97,1724
0.84,1725
0.94,1726
0.95,1728
0.82,1729
0.00,1730
0.04,1732
0.39,1733
0.94,1734
0.98,1736
1.03,1737
0.78,1738
0.95,1739
0.81,1741
0.88,1742
0.83,1743
0.73,1745
0.80,1746
0.92,1747
0.84,1749
0.95,1750
0.90,1751
0.96,1753
0.83,1754
0.94,1755
0.94,1757
0.96,1758
0.83,1759
0.90,1761
1.05,1762
0.91,1763
0.99,1764
0.90,1766
0.97,1767
0.96,1768
0.99,1770
1.01,1771
0.97,1772
0.97,1774
0.97,1775
1.00,1776
0.90,1778
0.89,1779
0.84,1780
-0.28,1782
-0.17,1783
0.76,1784
0.99,1786
0.82,1787
0.90,1788
0.88,1790
1.09,1791
0.87,1792
0.86,1794
0.85,1795
0.92,1796
0.87,1797
0.86,1799
0.87,1800
0.85,1801
0.86,1803
0.90,1804
0.85,1805
0.89,1807
0.90,1808
1.11,1809
0.84,1811
0.88,1812
1.00,1813
0.88,1815
1.06,1816
0.82,1817
0.97,1819
0.88,1820
0.95,1821
0.90,1822
0.93,1824
0.87,1825
0.87,1826
0.86,1828
0.78,1829
0.90,1830
0.43,1832
-0.08,1833
-0.25,1834
0.68,1836
0.86,1837
0.98,1838
0.85,1840
0.85,1841
0.91,1842
0.85,1844
0.95,1845
1.00,1846
0.99,1848
0.76,1849
0.84,1850
1.01,1852
0.96,1853
0.79,1854
1.02,1855
0.87,1857
0.88,1858
0.93,1859
0.96,1861
0.86,1862
0.88,1863
0.87,1865
0.91,1866
0.95,1867
0.87,1869
0.78,1870
0.85,1871
0.94,1873
0.86,1874
0.75,1875
0.83,1877
0.83,1878
0.90,1879
0.93,1880
0.93,1882
0.37,1883
-0.31,1884
-0.16,1886
0.84,1887
1.03,1888
0.81,1890
0.99,1891
0.75,1892
0.80,1894
0.93,1895
0.94,1896
0.86,1898
0.82,1899
0.83,1900
0.91,1902
0.97,1903
0.84,1904
0.90,1906
0.79,1907
1.02,1908
0.86,1909
0.89,1911
0.95,1912
0.83,1913
0.80,1915
0.92,1916
0.80,1917
0.87,1919
0.88,1920
0.93,1921
0.90,1923
0.88,1924
0.96,1925
0.84,1927
0.79,1928
0.90,1929
0.85,1931
0.96,1932
0.94,1933
0.32,1934
-0.19,1936
-0.17,1937
-0.23,1938
-0.24,1940
0.86,1941
0.93,1942
0.75,1944
0.99,1945
0.87,1946
0.84,1948
0.88,1949
0.90,1950
0.85,1952
0.73,1953
0.79,1954
0.82,1956
0.91,1957
0.85,1958
0.94,1960
0.80,1961
0.91,1962
0.83,1964
0.84,1965
0.67,1966
0.67,1967
0.73,1969
0.74,1970
0.73,1971
0.83,1973
0.79,1974
0.87,1975
0.88,1977
0.79,1978
0.85,1979
0.91,1981
0.83,1982
0.91,1983
0.77,1985
0.14,1986
-0.15,1987
0.24,1989
0.81,1990
0.73,1991
1.05,1993
0.67,1994
0.76,1995
0.94,1996
0.83,1998
0.94,1999
0.87,2000
0.86,2002
0.86,2003
1.02,2004
1.01,2006
0.97,2007
0.92,2008
0.89,2010
1.00,2011
0.95,2012
0.91,2014
0.83,2015
0.72,2016
1.01,2017
0.83,2019
1.03,2020
0.79,2021
0.81,2023
0.89,2024
0.92,2025
0.83,2027
0.90,2028
0.91,2029
0.96,2031
0.93,2032
0.92,2033
0.87,2035
0.84,2036
-0.05,2037
-0.08,2039
0.32,2040
0.88,2041
0.86,2043
0.84,2044
0.94,2045
0.96,2047
0.94,2048
1.00,2049
1.02,2050
0.81,2052
0.85,2053
0.88,2054
0.78,2056
0.89,2057
0.95,2058
0.87,2060
0.89,2061
0.82,2062
0.96,2064
0.92,2065
0.97,2066
0.90,2068
0.81,2069
0.92,2070
0.89,2071
0.83,2073
1.01,2074
0.90,2075
0.80,2077
0.99,2078
0.92,2079
0.83,2081
0.88,2082
0.99,2083
0.94,2085
0.77,2086
0.94,2087
-0.15,2089
-0.05,2090
0.46,2091
0.83,2093
0.77,2094
0.90,2095
0.84,2097
0.91,2098
1.02,2099
0.84,2101
0.69,2102
0.85,2103
0.88,2104
0.97,2106
0.80,2107
0.94,2108
0.84,2110
0.92,2111
0.96,2112
0.86,2114
0.91,2115
0.86,2116
0.91,2118
0.88,2119
0.87,2120
0.88,2122
0.96,2123
0.86,2124
0.91,2126
0.90,2127
0.89,2128
0.94,2129
0.81,2131
0.82,2132
0.94,2133
0.80,2135
0.89,2136
0.96,2137
0.94,2139
-0.17,2140
0.00,2141
0.62,2143
0.94,2144
0.82,2145
0.84,2147
0.94,2148
0.94,2149
0.91,2151
0.87,2152
0.83,2153
0.97,2155
0.87,2156
0.84,2157
0.98,2159
1.04,2160
0.98,2161
0.98,2162
1.00,2164
0.83,2165
0.94,2166
1.04,2168
0.77,2169
0.90,2170
0.91,2172
0.96,2173
0.79,2174
1.06,2176
1.03,2177
0.95,2178
0.81,2180
0.87,2181
0.88,2182
0.95,2184
0.96,2185
0.91,2186
0.97,2187
0.93,2189
0.72,2190
-0.02,2191
-0.09,2193
0.89,2194
0.89,2195
0.89,2197
0.92,2198
1.08,2199
0.96,2201
0.84,2202
0.92,2203
0.93,2205
0.92,2206
0.86,2207
1.03,2209
0.84,2210
0.92,2211
0.94,2213
0.77,2214
0.82,2215
0.82,2217
0.79,2218
0.97,2219
1.03,2220
0.89,2222
1.00,2223
0.99,2224
0.82,2226
0.93,2227
0.92,2228
0.94,2230
0.79,2231
0.90,2232
0.84,2234
0.98,2235
0.95,2236
0.96,2238
0.87,2239
0.96,2240
0.41,2242
-0.18,2243
-0.06,2244
0.89,2246
0.84,2247
0.91,2248
0.90,2249
0.71,2251
0.77,2252
0.88,2253
0.79,2255
0.82,2256
0.85,2257
0.80,2259
0.82,2260
0.84,2261
0.73,2263
0.75,2264
0.91,2265
0.96,2267
0.90,2268
0.87,2269
1.08,2271
0.79,2272
0.92,2273
0.88,2274
0.89,2276
0.79,2277
0.93,2278
0.96,2280
0.84,2281
0.83,2282
0.90,2284
0.82,2285
0.96,2286
0.90,2288
0.94,2289
0.91,2290
1.02,2292
0.21,2293
-0.06,2294
0.01,2296
0.89,2297
0.94,2298
0.95,2300
0.81,2301
0.96,2302
0.93,2304
0.85,2305
0.98,2306
1.01,2307
0.94,2309
0.79,2310
0.95,2311
0.97,2313
0.87,2314
1.02,2315
1.02,2317
0.86,2318
0.82,2319
0.93,2321
0.98,2322
1.03,2323
0.94,2325
0.93,2326
1.10,2327
0.85,2329
0.83,2330
1.01,2331
1.01,2332
0.91,2334
1.04,2335
0.92,2336
0.98,2338
0.96,2339
1.09,2340
0.96,2342
0.90,2343
0.18,2344
-0.09,2346
0.10,2347
0.99,2348
0.88,2350
0.81,2351
1.03,2352
1.00,2354
0.88,2355
0.89,2356
0.87,2358
0.90,2359
0.96,2360
0.90,2361
0.86,2363
0.90,2364
0.99,2365
0.96,2367
0.94,2368
1.02,2369
0.94,2371
0.92,2372
0.92,2373
0.97,2375
0.99,2376
0.90,2377
0.97,2379
0.86,2380
1.01,2381
0.88,2383
0.95,2384
1.04,2385
0.92,2386
0.87,2388
0.99,2389
1.03,2390
0.87,2392
0.73,2393
1.00,2394
-0.02,2396
-0.15,2397
0.35,2398
0.88,2400
0.88,2401
0.95,2402
0.90,2404
0.91,2405
0.87,2406
0.88,2408
0.90,2409
0.81,2410
0.88,2412
0.71,2413
0.98,2414
0.97,2415
0.95,2417
0.93,2418
0.98,2419
0.98,2421
0.97,2422
0.93,2423
0.88,2425
0.84,2426
0.90,2427
0.97,2429
0.85,2430
1.06,2431
0.89,2433
0.84,2434
0.98,2435
1.13,2437
0.92,2438
0.78,2439
0.93,2440
0.90,2442
0.94,2443
0.98,2444
0.99,2446
-0.07,2447
-0.10,2448
0.47,2450
0.88,2451
0.91,2452
0.82,2454
0.86,2455
1.11,2456
0.78,2458
1.06,2459
0.92,2460
0.92,2462
0.89,2463
1.13,2464
1.05,2466
0.93,2467
0.93,2468
0.93,2469
0.88,2471
0.92,2472
1.01,2473
0.88,2475
0.77,2476
0.92,2477
0.86,2479
0.84,2480
0.83,2481
0.95,2483
0.91,2484
0.99,2485
0.82,2487
0.93,2488
1.12,2489
0.91,2491
0.92,2492
0.94,2493
0.94,2494
0.95,2496
0.82,2497
-0.08,2498
-0.17,2500
0.58,2501
1.02,2502
0.86,2504
0.75,2505
1.01,2506
1.03,2508
0.71,2509
0.93,2510
0.89,2512
0.85,2513
0.77,2514
0.84,2516
0.94,2517
0.78,2518
0.97,2520
0.84,2521
0.88,2522
0.95,2524
0.72,2525
0.83,2526
0.97,2527
0.89,2529
0.89,2530
0.90,2531
0.80,2533
0.80,2534
1.05,2535
0.84,2537
0.79,2538
0.95,2539
0.89,2541
0.86,2542
1.02,2543
1.03,2545
0.90,2546
0.88,2547
0.57,2549
-0.04,2550
-0.24,2551
-0.05,2552
-0.33,2554
-0.14,2555
-0.25,2556
-0.25,2558
-0.21,2559
-0.11,2560
-0.22,2562
-0.31,2563
-0.21,2564
-0.12,2566
-0.25,2567
-0.20,2568
-0.07,2569
-0.25,2571
-0.23,2572
-0.18,2573
-0.29,2575
-0.07,2576
-0.12,2577
-0.22,2579
-0.29,2580
-0.17,2581
-0.02,2583
-0.22,2584
